WasteZero, Inc..
Camera 2 Log File
Job Name: 2.13.26
Job Number: 
Operator: brad
Job Start: 02/13/2026 8:27:53

Camera_2_Data,Date_Time_Stamp
R002C0000480,02/13/2026 8:28:55
R002C0000484,02/13/2026 8:28:57
R002C0000498,02/13/2026 8:30:30
Bad_Read,02/13/2026 8:32:51
Bad_Read,02/13/2026 8:32:57
Bad_Read,02/13/2026 8:33:00
Bad_Read,02/13/2026 8:33:06
Bad_Read,02/13/2026 8:33:08
Bad_Read,02/13/2026 8:33:14
Bad_Read,02/13/2026 8:33:17
Bad_Read,02/13/2026 8:33:23
Bad_Read,02/13/2026 8:33:29
Bad_Read,02/13/2026 8:33:35
Bad_Read,02/13/2026 8:33:38
Bad_Read,02/13/2026 8:33:44
Bad_Read,02/13/2026 8:35:05
Bad_Read,02/13/2026 8:35:08
Bad_Read,02/13/2026 8:35:11
Bad_Read,02/13/2026 8:36:50
Bad_Read,02/13/2026 8:36:56
Bad_Read,02/13/2026 8:36:59
Bad_Read,02/13/2026 8:37:05
Bad_Read,02/13/2026 8:37:07
Bad_Read,02/13/2026 8:37:13
Bad_Read,02/13/2026 8:37:19
Bad_Read,02/13/2026 8:37:26
Bad_Read,02/13/2026 8:37:32
Bad_Read,02/13/2026 8:37:38
Bad_Read,02/13/2026 8:37:44
Bad_Read,02/13/2026 8:37:50
Bad_Read,02/13/2026 8:37:56
Bad_Read,02/13/2026 8:38:03
Bad_Read,02/13/2026 8:38:09
Bad_Read,02/13/2026 8:38:42
Bad_Read,02/13/2026 8:38:48
Bad_Read,02/13/2026 8:38:55
Bad_Read,02/13/2026 8:39:01
Bad_Read,02/13/2026 8:39:07
Bad_Read,02/13/2026 8:39:13
Bad_Read,02/13/2026 8:39:19
R002C0000004,02/13/2026 8:39:25
Bad_Read,02/13/2026 8:39:32
R002C0000024,02/13/2026 8:39:38
R002C0000034,02/13/2026 8:39:44
R002C0000044,02/13/2026 8:39:50
Bad_Read,02/13/2026 8:39:56
R002C0000064,02/13/2026 8:40:02
Bad_Read,02/13/2026 8:40:09
R002C0000084,02/13/2026 8:40:15
R002C0000094,02/13/2026 8:40:21
Bad_Read,02/13/2026 8:40:27
Bad_Read,02/13/2026 8:40:33
Bad_Read,02/13/2026 8:40:40
Bad_Read,02/13/2026 8:40:46
R002C0000142,02/13/2026 8:40:51
R002C0000148,02/13/2026 8:40:55
R002C0000161,02/13/2026 8:42:50
Bad_Read,02/13/2026 8:42:56
Bad_Read,02/13/2026 8:42:59
Bad_Read,02/13/2026 8:44:21
Bad_Read,02/13/2026 8:44:28
R002C0000206,02/13/2026 8:44:30
Bad_Read,02/13/2026 8:44:36
Bad_Read,02/13/2026 8:44:39
R002C0000230,02/13/2026 8:44:45
Bad_Read,02/13/2026 8:46:27
R002C0000251,02/13/2026 8:46:33
R002C0000261,02/13/2026 8:46:39
Bad_Read,02/13/2026 8:46:45
R002C0000281,02/13/2026 8:46:51
Bad_Read,02/13/2026 8:46:57
R002C0000300,02/13/2026 8:47:04
R002C0000310,02/13/2026 8:47:10
R002C0000320,02/13/2026 8:47:16
R002C0000330,02/13/2026 8:47:22
R002C0000340,02/13/2026 8:47:28
R002C0000350,02/13/2026 8:47:34
R002C0000360,02/13/2026 8:47:41
R002C0000370,02/13/2026 8:47:47
R002C0000380,02/13/2026 8:47:53
R002C0000390,02/13/2026 8:47:59
R002C0000400,02/13/2026 8:48:05
R002C0000410,02/13/2026 8:48:12
R002C0000420,02/13/2026 8:48:18
R002C0000430,02/13/2026 8:48:24
R002C0000440,02/13/2026 8:48:30
R002C0000450,02/13/2026 8:48:36
R002C0000460,02/13/2026 8:48:42
R002C0000470,02/13/2026 8:48:49
R002C0000480,02/13/2026 8:48:55
R002C0000490,02/13/2026 8:49:01
R002C0000500,02/13/2026 8:49:07
R002C0000510,02/13/2026 8:49:13
R002C0000520,02/13/2026 8:49:20
R002C0000530,02/13/2026 8:49:26
R002C0000540,02/13/2026 8:49:32
R002C0000550,02/13/2026 8:49:38
R002C0000560,02/13/2026 8:49:44
R002C0000570,02/13/2026 8:49:51
R002C0000580,02/13/2026 8:49:57
R002C0000590,02/13/2026 8:50:03
R002C0000600,02/13/2026 8:50:09
R002C0000610,02/13/2026 8:50:15
R002C0000620,02/13/2026 8:50:21
R002C0000630,02/13/2026 8:50:28
R002C0000640,02/13/2026 8:50:34
R002C0000650,02/13/2026 8:50:40
R002C0000660,02/13/2026 8:50:46
R002C0000670,02/13/2026 8:50:52
R002C0000680,02/13/2026 8:50:59
R002C0000690,02/13/2026 8:51:05
R002C0000700,02/13/2026 8:51:11
R002C0000710,02/13/2026 8:51:17
R002C0000720,02/13/2026 8:51:23
R002C0000730,02/13/2026 8:51:29
R002C0000740,02/13/2026 8:51:36
R002C0000750,02/13/2026 8:51:42
R002C0000760,02/13/2026 8:51:48
R002C0000770,02/13/2026 8:51:54
R002C0000778,02/13/2026 8:51:59


Total Reads: 120
Bad Reads: 53
Job End: 02/13/2026 8:52:18

